SCHOOL_CODE,YEAR,MONTH,SCHOOL_NAME,MONTH_START,STAGE_SCHOOL_YEAR,STAGE_DISTRICT_CODE,ENROLLMENT,BREAKFAST_AVERAGE_PER_DAY,LUNCH_AVERAGE_PER_DAY,TOTAL_AVERAGE_MEALS_PER_DAY,BREAKFAST_PARTICIPATION,LUNCH_PARTICIPATION,TOTAL_PARTICIPATION,attendance_records,absences,full_absences,half_absences,excused_absences,mental_health_days,unique_students,num_students_seen,pct_female,pct_male,pct_non_binary,gender_error_count,absence_rate,pct_full_absence,pct_half_absence,pct_present,weighted_absence_rate,pct_excused,pct_unexcused,pct_mental_health_day,distinct_neighborhoods,distinct_zip_codes,avg_days_in_school,total_students,pct_free_reduced_lunch,pct_free_lunch,pct_reduced_lunch,pct_direct_cert,pct_paid_lunch,foodservice_null_count,incoming_student_count,NETWORK
400052,2026,2,NOBLE - COMER,2026-02-01T00:00:00.000Z,2025-2026,299,1110,63,183,246,0.0573,0.1649649649649650,0.1111111111111111,18281,2258,2191,67,5817,2,1080,1080,0.5262,0.4738,0.0,0,0.1235,0.1199,0.0037,0.8765,0.1217,0.3182,0.1057,1.0E-4,41,26,,1065,0.0122,0.0094,0.0028,9.0E-4,9.0E-4,1051,0,Charter
400157,2025,10,NOBLE - BAKER HS,2025-10-01T00:00:00.000Z,2025-2026,299,285,44,135,179,0.1554,0.4750208855472013,0.3152046783625731,5530,888,817,71,2015,0,302,302,0.5392,0.4608,0.0,0,0.1606,0.1477,0.0128,0.8394,0.1542,0.3644,0.1029,0.0,28,19,,312,0.0,0.0,0.0,0.0,0.0,312,0,Charter
609680,2026,3,PAYTON HS,2026-03-01T00:00:00.000Z,2025-2026,299,1261,97,297,394,0.0772,0.2357916997092255,0.1564895585514142,18762,1591,1153,438,912,81,1253,1253,0.4597,0.5387,0.0016,0,0.0848,0.0615,0.0233,0.9152,0.0731,0.0486,0.0362,0.0043,68,55,,1251,0.0048,0.004,8.0E-4,0.0016,0.016,1225,0,Network 15
609760,2025,8,CARVER MILITARY HS,2025-08-01T00:00:00.000Z,2025-2026,299,415,60,291,352,0.1453,0.7028915662650602,0.4240963855421687,4134,358,278,80,57,0,423,423,0.4381,0.5619,0.0,0,0.0866,0.0672,0.0194,0.9134,0.0769,0.0138,0.0728,0.0,25,17,,401,0.0274,0.0224,0.005,0.0,0.0025,389,0,Network 17
609764,2025,12,JUAREZ HS,2025-12-01T00:00:00.000Z,2025-2026,299,1422,154,731,885,0.1085,0.5141115799343647,0.3113220815752462,21071,6172,4034,2138,888,1,1406,1406,0.5111,0.4882,7.0E-4,0,0.2929,0.1914,0.1015,0.7071,0.2422,0.0421,0.2508,0.0,42,30,,1377,0.0065,0.0065,0.0,0.0,0.0,1368,0,Network 15
609769,2025,11,GRAHAM HS,2025-11-01T00:00:00.000Z,2025-2026,299,265,116,182,298,0.4383,0.6884097035040432,0.5633423180592991,3682,933,806,127,73,2,263,263,0.346,0.654,0.0,0,0.2534,0.2189,0.0345,0.7466,0.2361,0.0198,0.2336,5.0E-4,49,40,,264,0.0038,0.0038,0.0,0.0038,0.0,263,0,Network 14
609774,2026,1,ALCOTT ES,2026-01-01T00:00:00.000Z,2025-2026,299,569,118,289,408,0.2084,0.5088390364933320,0.3586271063785795,9662,544,534,10,921,6,570,570,0.4838,0.5145,0.0018,0,0.0563,0.0553,0.001,0.9437,0.0558,0.0953,0.0136,6.0E-4,31,32,,566,0.1166,0.1166,0.0,0.1131,0.0424,476,0,Network 4
609779,2026,3,ARMSTRONG G,2026-03-01T00:00:00.000Z,2025-2026,299,1375,581,881,1463,0.4230,0.6412121212121212,0.5321212121212121,20480,2427,2424,3,1785,8,1375,1375,0.4761,0.5239,0.0,0,0.1185,0.1184,1.0E-4,0.8815,0.1184,0.0872,0.0906,4.0E-4,11,14,,1363,0.1137,0.0954,0.0183,0.0315,0.0,1208,1,ISP
609788,2026,1,BARNARD,2026-01-01T00:00:00.000Z,2025-2026,299,250,130,146,276,0.5221,0.5844705882352942,0.5532941176470588,4248,431,404,27,953,2,250,250,0.5118,0.4842,0.004,0,0.1015,0.0951,0.0064,0.8985,0.0983,0.2243,0.0584,5.0E-4,12,12,,251,0.0876,0.0677,0.0199,0.0438,0.0,229,0,Network 10
609795,2025,8,CLARK ES,2025-08-01T00:00:00.000Z,2025-2026,299,123,98,88,186,0.7984,0.7211382113821139,0.7597560975609756,1160,38,38,0,60,0,120,120,0.4621,0.5379,0.0,0,0.0328,0.0328,0.0,0.9672,0.0328,0.0517,0.0293,0.0,7,7,,128,0.1094,0.0938,0.0156,0.0313,0.0,114,0,ISP
